cgpa,backlog_history,DSA_problems_solved,GitHub_repos,development_projects_count,AI_ML_projects,internships_completed,hackathons_participated,self_learning_hours,resume_score
6.71,3,656,10.0,5,0,1,2,2.7,55
6.14,0,619,16.0,7,1,6,1,4.3,100
7.11,0,674,30.0,10,5,3,3,3.5,100
7.41,0,637,15.0,7,5,3,3,3.7,87
8.29,0,986,12.0,2,1,1,0,4.9,68
6.9,0,686,8.0,6,3,3,0,3.6,93
7.66,3,792,15.0,8,3,5,2,6.7,100
5.98,0,531,14.0,5,0,2,4,2.3,100
6.7,0,575,35.0,10,7,5,1,3.8,100
6.99,0,771,11.0,3,1,3,2,4.8,84
7.47,0,683,13.0,4,0,1,3,1.3,75
6.64,2,628,16.0,4,3,0,4,3.4,75
8.31,0,665,11.0,4,0,4,4,3.9,85
6.22,2,603,11.0,5,5,1,5,3.2,71
9.9,1,867,27.0,9,3,3,4,3.2,96
7.15,1,490,3.0,3,2,1,3,3.5,74
7.77,0,925,11.0,5,3,3,4,3.0,84
6.26,0,518,18.0,5,1,2,4,4.3,73
8.83,2,619,23.0,6,2,2,1,6.3,82
8.18,0,416,8.0,2,2,2,6,4.8,60
8.25,1,474,12.0,3,0,2,0,2.8,100
7.1,0,700,12.0,6,0,2,1,5.4,90
8.25,2,696,3.0,1,1,0,5,3.4,74
6.84,0,798,13.0,4,4,3,3,3.4,85
9.39,1,645,2.0,1,0,1,2,3.1,73
8.31,0,760,16.0,6,3,3,0,3.6,100
7.22,0,654,28.0,13,7,6,3,5.3,100
6.44,0,646,21.0,4,1,0,2,2.1,66
8.34,1,749,16.0,4,3,0,1,2.3,83
6.99,0,429,26.0,9,4,5,2,4.7,100
6.56,0,751,18.0,7,5,3,3,3.3,87
6.36,0,664,23.0,7,4,3,5,3.6,100
5.85,0,471,22.0,9,3,6,0,6.2,100
6.65,1,604,22.0,8,4,3,2,2.7,89
7.39,0,551,20.0,7,4,2,0,4.1,77
7.71,1,471,18.0,6,3,3,0,3.3,84
5.73,0,640,16.0,6,3,3,1,3.7,92
7.11,3,626,10.0,7,2,2,2,2.8,80
7.9,0,757,6.0,2,0,0,4,1.4,72
6.39,2,572,18.0,6,3,3,5,3.9,100
9.09,0,764,19.0,5,1,1,1,2.2,70
7.6,0,740,,10,4,3,4,4.0,100
6.97,0,515,23.0,6,2,3,4,3.8,90
6.14,1,593,35.0,9,5,5,3,5.1,100
7.42,0,690,,6,3,4,0,4.3,100
7.64,0,603,20.0,5,2,2,1,3.9,94
7.69,0,485,,9,3,5,5,5.2,100
7.26,3,765,18.0,5,0,1,3,2.4,58
7.53,1,622,5.0,2,0,2,2,3.2,83
6.91,1,721,18.0,5,2,5,5,4.6,72
7.94,0,684,14.0,6,0,4,3,4.3,95
6.25,0,700,38.0,11,5,6,3,5.2,100
9.74,0,681,7.0,1,3,1,0,2.8,82
8.09,0,817,15.0,4,0,3,3,2.2,89
7.71,2,597,5.0,4,1,2,0,4.4,58
7.02,0,711,19.0,8,5,5,1,4.6,100
7.34,0,640,7.0,4,2,2,5,4.7,69
5.95,0,561,4.0,4,3,2,1,2.3,71
8.44,0,644,13.0,6,4,2,3,2.4,57
7.34,1,715,10.0,5,0,1,2,3.2,69
7.48,0,741,21.0,8,4,4,1,4.6,98
7.56,0,676,6.0,2,1,2,4,3.8,46
7.54,1,653,25.0,8,3,3,0,2.4,87
7.59,1,732,17.0,3,2,2,0,2.6,81
6.72,0,612,36.0,11,6,3,3,3.5,80
5.93,0,682,,9,4,2,4,1.5,73
7.6,0,659,27.0,7,2,0,5,2.9,66
7.4,0,572,,3,2,1,3,1.6,52
